,subject,repeats,session,recalled,adj_rec
0,LTP441,1,0,0.4791666666666667,0.7201586636028177
1,LTP441,2,0,0.6579739190850302,0.8453910018690918
2,LTP441,3,0,0.7975294192614454,0.9144039916113305
3,LTP441,1,2,0.549908424908425,0.7909004218445759
4,LTP441,2,2,0.612605663567202,0.8000227463512636
5,LTP441,3,2,0.7379282755873744,0.8548028479372595
6,LTP441,1,3,0.5512820512820513,0.7922740482182022
7,LTP441,2,3,0.7978689006466785,0.98528598343074
8,LTP441,3,3,0.9194608707680603,1.0363354431179452
9,LTP441,1,4,0.5074074074074074,0.7483994043435583
10,LTP441,2,4,0.7020870076425632,0.8895040904266247
11,LTP441,3,4,0.800986018688977,0.9178605910388621
12,LTP441,1,5,0.49722222222222223,0.7382142191583732
13,LTP441,2,5,0.6050705467372134,0.7924876295212749
14,LTP441,3,5,0.8114420462368069,0.928316618586692
15,LTP441,1,6,0.45045787545787547,0.6914498723940263
16,LTP441,2,6,0.6018999518999519,0.7893170346840135
17,LTP441,3,6,0.7778818171603203,0.8947563895102054
18,LTP441,1,7,0.7876543209876543,1.0286463179238052
19,LTP441,2,7,0.9066583622139177,1.0940754449979793
20,LTP441,3,7,0.9377558453280848,1.05463041767797
21,LTP441,1,8,0.4710758377425044,0.7120678346786553
22,LTP441,2,8,0.7525030525030525,0.939920135287114
23,LTP441,3,8,0.7930361672879733,0.9099107396378584
24,LTP441,1,9,0.5048571428571429,0.7458491397932938
25,LTP441,2,9,0.6319370958259847,0.8193541786100462
26,LTP441,3,9,0.6950915012060522,0.8119660735559373
27,LTP442,1,0,0.734090909090909,0.6337494177046826
28,LTP442,2,0,0.9167456000789335,0.887079205948084
29,LTP442,3,0,0.9594848832765929,0.9345856583843646
30,LTP442,1,1,0.8246913580246913,0.7243498666384649
31,LTP442,2,1,0.9155055849500294,0.88583919081918
32,LTP442,3,1,0.9803610333022098,0.9554618084099815
33,LTP442,1,2,0.866025641025641,0.7656841496394146
34,LTP442,2,2,0.9127131099353322,0.8830467158044827
35,LTP442,3,2,0.9930374001452433,0.968138175253015
36,LTP442,1,3,0.8466666666666667,0.7463251752804403
37,LTP442,2,3,0.8903439153439153,0.8606775212130658
38,LTP442,3,3,0.9290157390991584,0.9041165142069301
39,LTP442,1,4,0.9358024691358025,0.8354609777495761
40,LTP442,2,4,0.937610229276896,0.9079438351460465
41,LTP442,3,4,0.9862364698966006,0.9613372450043723
42,LTP442,1,5,0.921604938271605,0.8212634468853786
43,LTP442,2,5,0.9412698412698413,0.9116034471389918
44,LTP442,3,5,0.9418713586799242,0.9169721337876959
45,LTP442,1,6,0.9130952380952381,0.8127537467090117
46,LTP442,2,6,0.9168430335097002,0.8871766393788507
47,LTP442,3,6,0.9456723897507763,0.920773164858548
48,LTP442,1,7,0.96,0.8596585086137736
49,LTP442,2,7,0.9356995884773662,0.9060331943465167
50,LTP442,3,7,0.9027244491038781,0.8778252242116498
51,LTP442,1,8,0.792948717948718,0.6926072265624916
52,LTP442,2,8,0.7903839987173321,0.7607176045864826
53,LTP442,3,8,0.8795919634455927,0.8546927385533644
54,LTP442,1,9,0.9506666666666667,0.8503251752804403
55,LTP442,2,9,0.978835978835979,0.9491695847051295
56,LTP442,3,9,0.9787555763045959,0.9538563514123676
57,LTP443,1,0,0.884,0.8592276337787321
58,LTP443,2,0,0.9900932400932401,0.9940286094252652
59,LTP443,3,0,0.9644886719620123,0.9879273893968605
60,LTP443,1,1,0.9413580246913581,0.9165856584700902
61,LTP443,2,1,0.9759615384615384,0.9798969077935635
62,LTP443,3,1,0.9729577045538518,0.9963964219887
63,LTP443,1,2,0.8628472222222222,0.8380748560009543
64,LTP443,2,2,0.9098885682219016,0.9138239375539267
65,LTP443,3,2,0.931528909924761,0.9549676273596093
66,LTP443,1,3,0.7553333333333333,0.7305609671120654
67,LTP443,2,3,0.8361992945326279,0.840134663864653
68,LTP443,3,3,0.9486772714283894,0.9721159888632377
69,LTP443,1,4,0.7573333333333333,0.7325609671120654
70,LTP443,2,4,0.8172545561434451,0.8211899254754702
71,LTP443,3,4,0.9006468149313007,0.924085532366149
72,LTP443,1,5,0.33666666666666667,0.3118943004453988
73,LTP443,2,5,0.40939554272887607,0.41333091206090117
74,LTP443,3,5,0.39320274668571886,0.41664146412056713
75,LTP443,1,6,0.7345679012345678,0.7097955350133
76,LTP443,2,6,0.8850970017636685,0.8890323710956936
77,LTP443,3,6,0.933348895113601,0.9567876125484492
78,LTP443,1,7,0.8413333333333333,0.8165609671120654
79,LTP443,2,7,1.0,1.0039353693320252
80,LTP443,3,7,1.0,1.0234387174348483
81,LTP443,1,8,0.9213333333333334,0.8965609671120656
82,LTP443,2,8,1.0,1.0039353693320252
83,LTP443,3,8,0.9926575330987096,1.016096250533558
84,LTP443,1,9,0.9551282051282051,0.9303558389069372
85,LTP443,2,9,0.9760435038212817,0.9799788731533068
